"street_num","street","owner"
"15638","WARWICK",CITY OF NEWPORT NEWS SCHOOL BOARD
"5610","PATRICIA",CITY OF NEWPORT NEWS
"5588","PATRICIA",CITY OF NEWPORT NEWS
"748","SHIELDS",CITY OF NEWPORT NEWS
"756","SHIELDS",CITY OF NEWPORT NEWS
"12998","JEFFERSON",CITY OF NEWPORT NEWS
"13136","JEFFERSON",CITY OF NEWPORT NEWS
"749","SHIELDS",CITY OF NEWPORT NEWS
"472","RICHNECK",CITY OF NEWPORT NEWS
"462","RICHNECK",CITY OF NEWPORT NEWS
"496","RICHNECK",CITY OF NEWPORT NEWS
"494","RICHNECK",CITY OF NEWPORT NEWS
"133","OSPREY",CITY OF NEWPORT NEWS
"13149","JEFFERSON",CITY OF NEWPORT NEWS
"13141","JEFFERSON",CITY OF NEWPORT NEWS
"13999 GREEN","GROVE",CITY OF NEWPORT NEWS
"13101","JEFFERSON",CITY OF NEWPORT NEWS
"645 KINGS","RIDGE",CITY OF NEWPORT NEWS
"12996","JEFFERSON",CITY OF NEWPORT NEWS
"12984","JEFFERSON",CITY OF NEWPORT NEWS
"917","SHIELDS",CITY OF NEWPORT NEWS
"296","RICHNECK",CITY OF NEWPORT NEWS
"296","RICHNECK",CITY OF NEWPORT NEWS
"296","RICHNECK",CITY OF NEWPORT NEWS
"916","SHIELDS",CITY OF NEWPORT NEWS
"205","TYNER",CITY OF NEWPORT NEWS SCHOOL BOARD
"277","RICHNECK",CITY OF NEWPORT NEWS
"999","SHIELDS",CITY OF NEWPORT NEWS
"13000","WOODSIDE",CITY OF NEWPORT NEWS
"124","REXFORD",CITY OF NEWPORT NEWS
"15411","WARWICK",ECONOMIC DEVELOPMENT AUTHORITY
"15407","WARWICK",ECONOMIC DEVELOPMENT AUTHORITY
"25","TEARDROP",N N R & H A
"252","WOODHAVEN",CITY OF NEWPORT NEWS
"13017 GREEN","GROVE",CITY OF NEWPORT NEWS
"496 CHARTER","OAK",CITY OF NEWPORT NEWS
"255","RICHNECK",CITY OF NEWPORT NEWS
"1 MEADOW","CREEK",CITY OF NEWPORT NEWS
"254","RICHNECK",CITY OF NEWPORT NEWS
"130","DILTS",CITY OF NEWPORT NEWS
"12912","JEFFERSON",CITY OF NEWPORT NEWS
"255","RICHNECK",CITY OF NEWPORT NEWS
"1001 OLD","DENBIGH",CITY OF NEWPORT NEWS
"33","ARLINE",CITY OF NEWPORT NEWS
"15401","WARWICK",ECONOMIC DEVELOPMENT AUTHORITY
"15310","WARWICK",CITY OF NEWPORT NEWS
"15220","WARWICK",CITY OF NEWPORT NEWS
"15214","WARWICK",CITY OF NEWPORT NEWS
"15402","WARWICK",CITY OF NEWPORT NEWS
"400","ATKINSON",CITY OF NEWPORT NEWS SCHOOL BOARD
"15330","WARWICK",CITY OF NEWPORT NEWS
"15316","WARWICK",CITY OF NEWPORT NEWS SCHOOL BOARD
"15194","WARWICK",CITY OF NEWPORT NEWS
"15312","WARWICK",CITY OF NEWPORT NEWS
"185","RICHNECK",CITY OF NEWPORT NEWS SCHOOL BOARD
"177","RICHNECK",CITY OF NEWPORT NEWS
"12878","JEFFERSON",CITY OF NEWPORT NEWS
"983","LACON",CITY OF NEWPORT NEWS
"60 CURTIS","TIGNOR",CITY OF NEWPORT NEWS SCHOOL BOARD
"91","LINDA",CITY OF NEWPORT NEWS
"181 STONY","RIDGE",CITY OF NEWPORT NEWS
"15206","WARWICK",CITY OF NEWPORT NEWS
"5214 DENBIGH","PARK",CITY OF NEWPORT NEWS
"5208 DENBIGH","PARK",CITY OF NEWPORT NEWS
"5206 DENBIGH","PARK",CITY OF NEWPORT NEWS
"5204 DENBIGH","PARK",CITY OF NEWPORT NEWS
"15198","WARWICK",CITY OF NEWPORT NEWS
"15196","WARWICK",CITY OF NEWPORT NEWS
"5210 DENBIGH","PARK",CITY OF NEWPORT NEWS
"5212 DENBIGH","PARK",CITY OF NEWPORT NEWS
"306","CIVIL",CITY OF NEWPORT NEWS
"12811","JEFFERSON",CITY OF NEWPORT NEWS
"12811","JEFFERSON",CITY OF NEWPORT NEWS
"12811","JEFFERSON",CITY OF NEWPORT NEWS
"104 PRINCE","WILLIAM",CITY OF NEWPORT NEWS
"106","TAZEWELL",CITY OF NEWPORT NEWS
"80","RICHNECK",CITY OF NEWPORT NEWS
"12824","JEFFERSON",CITY OF NEWPORT NEWS
"12636","MCMANUS",CITY OF NEWPORT NEWS
"12640","MCMANUS",INDUSTRIAL DEVELOPMENT AUTHORITY
"907","COLLEEN",CITY OF NEWPORT NEWS
"194","BEECHMONT",CITY OF NEWPORT NEWS
"15008","WARWICK",ECONOMIC DEVELOPMENT AUTHORITY
"14872","WARWICK",ECONOMIC DEVELOPMENT AUTHORITY
"15004","WARWICK",ECONOMIC DEVELOPMENT AUTHORITY
"14872","WARWICK",ECONOMIC DEVELOPMENT AUTHORITY
"14874","WARWICK",ECONOMIC DEVELOPMENT AUTHORITY
"15002","WARWICK",ECONOMIC DEVELOPMENT AUTHORITY
"14878","WARWICK",ECONOMIC DEVELOPMENT AUTHORITY
"14876","WARWICK",ECONOMIC DEVELOPMENT AUTHORITY
"14747","WARWICK",CITY OF NEWPORT NEWS
"14550 OLD","COURTHOUSE",CITY OF NEWPORT NEWS
"14536 OLD","COURTHOUSE",CITY OF NEWPORT NEWS
"489","DENBIGH",CITY OF NEWPORT NEWS
"670","TURNBERRY",CITY OF NEWPORT NEWS
"680","TURNBERRY",INDUSTRIAL DEVELOPMENT AUTHORITY
"12601 PATRICK","HENRY",CITY OF NEWPORT NEWS
"651","SIEMENS",CITY OF NEWPORT NEWS
"12601","MCMANUS",INDUSTRIAL DEVELOPMENT AUTHORITY
"690","TURNBERRY",CITY OF NEWPORT NEWS
"692","TURNBERRY",CITY OF NEWPORT NEWS
"867","GARROW",CITY OF NEWPORT NEWS
"855 LUCAS","CREEK",CITY OF NEWPORT NEWS SCHOOL BOARD
"14475 OLD","COURTHOUSE",CITY OF NEWPORT NEWS
"366","DESHAZOR",CITY OF NEWPORT NEWS
"840 LUCAS","CREEK",CITY OF NEWPORT NEWS
"14600","WARWICK",CITY OF NEWPORT NEWS
"429","ORIANA",ECONOMIC DEVELOPMENT AUTHORITY
"14432 OLD","COURTHOUSE",CITY OF NEWPORT NEWS
"14400 OLD","COURTHOUSE",CITY OF NEWPORT NEWS
"117","POCAHANTAS",CITY OF NEWPORT NEWS
"199","MOTOKA",CITY OF NEWPORT NEWS
"536","TURNBERRY",CITY OF NEWPORT NEWS
"12555","JEFFERSON",CITY OF NEWPORT NEWS
"73","WATERVIEW",CITY OF NEWPORT NEWS
"10","DENBIGH",CITY OF NEWPORT NEWS
"826","MOYER",CITY OF NEWPORT NEWS SCHOOL BOARD
"259","DENBIGH",CITY OF NEWPORT NEWS SCHOOL BOARD
"239","DENBIGH",CITY OF NEWPORT NEWS
"354 GREEN","MEADOWS",CITY OF NEWPORT NEWS
"338","DENBIGH",CITY OF NEWPORT NEWS
"14302 OLD","COURTHOUSE",CITY OF NEWPORT NEWS
"334","WELLS",CITY OF NEWPORT NEWS SCHOOL BOARD
"3950","CAMPBELL",CITY OF NEWPORT NEWS
"500","BLAND",CITY OF NEWPORT NEWS
"401","BOYKIN",CITY OF NEWPORT NEWS
"337","CHATHAM",CITY OF NEWPORT NEWS
"2381","G",INDUSTRIAL DEVELOPMENT AUTHORITY
"1503 KILN","CREEK",CITY OF NEWPORT NEWS
"1501 KILN","CREEK",CITY OF NEWPORT NEWS SCHOOL BOARD
"29","JOLAMA",CITY OF NEWPORT NEWS
"681 LUCAS","CREEK",CITY OF NEWPORT NEWS
"680 LUCAS","CREEK",CITY OF NEWPORT NEWS
"125","SANDPIPER",CITY OF NEWPORT NEWS
"120","SANDPIPER",CITY OF NEWPORT NEWS
"1 SHORE","PARK",CITY OF NEWPORT NEWS
"137","CANTERBURY",CITY OF NEWPORT NEWS
"139","SANDPIPER",CITY OF NEWPORT NEWS
"13721","WARWICK",CITY OF NEWPORT NEWS
"13705","WARWICK",CITY OF NEWPORT NEWS
"13701","WARWICK",CITY OF NEWPORT NEWS
"17","GWYNN",CITY OF NEWPORT NEWS
"13684","WARWICK",CITY OF NEWPORT NEWS
"3957","CAMPBELL",CITY OF NEWPORT NEWS
"13437 WARWICK","SPRINGS",CITY OF NEWPORT NEWS
"765 BRICK","KILN",CITY OF NEWPORT NEWS
"419","LANYARD",CITY OF NEWPORT NEWS
"480","COLONY",CITY OF NEWPORT NEWS SCHOOL BOARD
"273","COLONY",CITY OF NEWPORT NEWS
"251","YODER",CITY OF NEWPORT NEWS
"375","NICEWOOD",CITY OF NEWPORT NEWS
"13219","AQUEDUCT",N N R & H A
"13209","AQUEDUCT",N N R & H A
"13211","AQUEDUCT",N N R & H A
"13245","AQUEDUCT",N N R & H A
"13244","AQUEDUCT",N N R & H A
"201","MOTOKA",CITY OF NEWPORT NEWS
"551","ONANCOCK",CITY OF NEWPORT NEWS
"643 VILLAGE","GREEN",CITY OF NEWPORT NEWS
"635 KILN","CREEK",CITY OF NEWPORT NEWS
"627 HAYSTACK","LANDING",CITY OF NEWPORT NEWS
"80","MENCHVILLE",CITY OF NEWPORT NEWS SCHOOL BOARD
"270","BATSON",CITY OF NEWPORT NEWS
"13035","WARWICK",CITY OF NEWPORT NEWS
"13043 MITCHELL","POINT",CITY OF NEWPORT NEWS
"501 OYSTER","POINT",CITY OF NEWPORT NEWS
"503 OYSTER","POINT",CITY OF NEWPORT NEWS
"505 OYSTER","POINT",CITY OF NEWPORT NEWS
"509 OYSTER","POINT",CITY OF NEWPORT NEWS
"513 OYSTER","POINT",CITY OF NEWPORT NEWS
"12148","JEFFERSON",CITY OF NEWPORT NEWS
"523 OYSTER","POINT",ECONOMIC DEVELOPMENT AUTHORITY
"100","PALMER",CITY OF NEWPORT NEWS SCHOOL BOARD
"716","PRESCOTT",CITY OF NEWPORT NEWS
"731 OYSTER","POINT",CITY OF NEWPORT NEWS
"739 OYSTER","POINT",CITY OF NEWPORT NEWS
"683 OYSTER","POINT",CITY OF NEWPORT NEWS
"685 OYSTER","POINT",CITY OF NEWPORT NEWS
"689 OYSTER","POINT",CITY OF NEWPORT NEWS
"13","ELOWRO",CITY OF NEWPORT NEWS
"93","ORCHARD",CITY OF NEWPORT NEWS
"70","BOXLEY",CITY OF NEWPORT NEWS
"76","BOXLEY",CITY OF NEWPORT NEWS
"12930","WARWICK",CITY OF NEWPORT NEWS
"12924","NETTLES",CITY OF NEWPORT NEWS
"550 BLUE","POINT",N N R & H A
"12098","JEFFERSON",CITY OF NEWPORT NEWS SCHOOL BOARD
"690 OYSTER","POINT",ECONOMIC DEVELOPMENT AUTHORITY
"730 OYSTER","POINT",INDUSTRIAL DEVELOPMENT AUTHORITY
"700 OYSTER","POINT",INDUSTRIAL DEVELOPMENT AUTHORITY
"12005","CANON",CITY OF NEWPORT NEWS
"1072 J CLYDE","MORRIS",CITY OF NEWPORT NEWS
"30","HOLLOWAY",CITY OF NEWPORT NEWS
"701","MENCHVILLE",CITY OF NEWPORT NEWS SCHOOL BOARD
"80 LUCAS","CREEK",CITY OF NEWPORT NEWS
"275","MENCHVILLE",CITY OF NEWPORT NEWS SCHOOL BOARD
"292","ADRIENNE",CITY OF NEWPORT NEWS
"145 PINE","BLUFF",CITY OF NEWPORT NEWS
"229","WOODBURNE",CITY OF NEWPORT NEWS
"231","WOODBURNE",CITY OF NEWPORT NEWS
"232","WOODBURNE",CITY OF NEWPORT NEWS
"230","WOODBURNE",CITY OF NEWPORT NEWS
"187 PINE","BLUFF",CITY OF NEWPORT NEWS
"189 PINE","BLUFF",CITY OF NEWPORT NEWS
"191 PINE","BLUFF",CITY OF NEWPORT NEWS
"190 PINE","BLUFF",CITY OF NEWPORT NEWS
"110","POINTERS",CITY OF NEWPORT NEWS
"12800","WARWICK",CITY OF NEWPORT NEWS
"11972","JEFFERSON",CITY OF NEWPORT NEWS
"11890 ROCK","LANDING",INDUSTRIAL DEVELOPMENT AUTHORITY
"810","BRIGHTON",N N R & H A
"11842 ROCK","LANDING",INDUSTRIAL DEVELOPMENT AUTHORITY
"1","PLANTATION",CITY OF NEWPORT NEWS
"19","SCUFFLEFIELD",CITY OF NEWPORT NEWS
"118","ARCHER",CITY OF NEWPORT NEWS
"73","MAXWELL",CITY OF NEWPORT NEWS SCHOOL BOARD
"234","LISA",CITY OF NEWPORT NEWS
"12740","WARWICK",CITY OF NEWPORT NEWS
"11887","JEFFERSON",CITY OF NEWPORT NEWS-WATERWORKS
"736","BLUECRAB",ECONOMIC DEVELOPMENT AUTHORITY
"11842 FISHING","POINT",CITY OF NEWPORT NEWS
"11829","CANON",ECONOMIC DEVELOPMENT AUTHORITY
"814","BLUECRAB",CITY OF NEWPORT NEWS
"805","OMNI",CITY OF NEWPORT NEWS
"809","OMNI",ECONOMIC DEVELOPMENT AUTHORITY
"813","OMNI",CITY OF NEWPORT NEWS
"11826","CANON",CITY OF NEWPORT NEWS
"11801 ROCK","LANDING",CITY OF NEWPORT NEWS
"11819 ROCK","LANDING",CITY OF NEWPORT NEWS
"11843 ROCK","LANDING",CITY OF NEWPORT NEWS
"1","GOVERNOR",CITY OF NEWPORT NEWS
"100 CITY","FARM",CITY OF NEWPORT NEWS
"494","MENCHVILLE",CITY OF NEWPORT NEWS
"116","CANVASBACK",CITY OF NEWPORT NEWS
"98","SHAMROCK",CITY OF NEWPORT NEWS
"390","MAXWELL",CITY OF NEWPORT NEWS
"66","LUANITA",CITY OF NEWPORT NEWS
"12613","WARWICK",CITY OF NEWPORT NEWS
"210 CITY","CENTER",CITY OF NEWPORT NEWS
"501 NAT","TURNER",ECONOMIC DEVELOPMENT AUTHORITY
"521 NAT","TURNER",CITY OF NEWPORT NEWS
"11846","JEFFERSON",CITY OF NEWPORT NEWS
"702 THIMBLE","SHOALS",CITY OF NEWPORT NEWS
"725 TOWN","CENTER",CITY OF NEWPORT NEWS
"705 THIMBLE","SHOALS",CITY OF NEWPORT NEWS
"651 TOWN","CENTER",ECONOMIC DEVELOPMENT AUTHORITY
"735 TOWN","CENTER",ECONOMIC DEVELOPMENT AUTHORITY
"730","LAKEFRONT",ECONOMIC DEVELOPMENT AUTHORITY
"11860","MERCHANTS",ECONOMIC DEVELOPMENT AUTHORITY
"11860","MERCHANTS",ECONOMIC DEVELOPMENT AUTHORITY
"11805","FOUNTAIN",ECONOMIC DEVELOPMENT AUTHORITY
"737 THIMBLE","SHOALS",CITY OF NEWPORT NEWS
"727 THIMBLE","SHOALS",CITY OF NEWPORT NEWS
"11760 ROCK","LANDING",ECONOMIC DEVELOPMENT AUTHORITY OF
"11780 ROCK","LANDING",CITY OF NEWPORT NEWS
"756 TOWN","CENTER",ECONOMIC DEVELOPMENT AUTHORITY
"721 THIMBLE","SHOALS",ECONOMIC DEVELOPMENT AUTHORITY
"735","MARINERS",ECONOMIC DEVELOPMENT AUTHORITY
"730 TOWN","CENTER",ECONOMIC DEVELOPMENT AUTHORITY
"750 TOWN","CENTER",ECONOMIC DEVELOPMENT AUTHORITY
"11821","CANON",ECONOMIC DEVELOPMENT AUTHORITY
"761","MARINERS",ECONOMIC DEVELOPMENT AUTHORITY
"760 TOWN","CENTER",ECONOMIC DEVELOPMENT AUTHORITY
"791 J CLYDE","MORRIS",CITY OF NEWPORT NEWS
"793 J CLYDE","MORRIS",ECONOMIC DEVELOPMENT AUTHORITY
"836 J CLYDE","MORRIS",CITY OF NEWPORT NEWS
"853","HARPERSVILLE",CITY OF NEWPORT NEWS SCHOOL BOARD
"237","LONGMEADOW",CITY OF NEWPORT NEWS
"238 ST","IVES",CITY OF NEWPORT NEWS
"260","ANNE",CITY OF NEWPORT NEWS
"524","MENCHVILLE",CITY OF NEWPORT NEWS
"522","MENCHVILLE",CITY OF NEWPORT NEWS
"520","MENCHVILLE",CITY OF NEWPORT NEWS
"700 DEEP","CREEK",CITY OF NEWPORT NEWS
"75","WELLESLEY",N N R & H A
"111 EDITH","WHARTON",CITY OF NEWPORT NEWS
"817","FORREST",N N R & H A
"699 J CLYDE","MORRIS",CITY OF NEWPORT NEWS
"730","ROSLYN",CITY OF NEWPORT NEWS
"748 THIMBLE","SHOALS",CITY OF NEWPORT NEWS
"790 PILOT","HOUSE",CITY OF NEWPORT NEWS
"712","LEONARD",CITY OF NEWPORT NEWS
"672","LEONARD",CITY OF NEWPORT NEWS
"675","LEONARD",CITY OF NEWPORT NEWS
"355","BARCLAY",CITY OF NEWPORT NEWS
"12495","WARWICK",CITY OF NEWPORT NEWS
"12511","WARWICK",NEWPORT NEWS SCHOOL BOARD
"12507","WARWICK",NEWPORT NEWS SCHOOL BOARD
"30","WELLESLEY",CITY OF NEWPORT NEWS SCHOOL BOARD
"12455","WARWICK",CITY OF NEWPORT NEWS
"12465","WARWICK",CITY OF NEWPORT NEWS SCHOOL BOARD
"12453","WARWICK",CITY OF NEWPORT NEWS
"4","MINTON",CITY OF NEWPORT NEWS
"3","MINTON",CITY OF NEWPORT NEWS SCHOOL BOARD
"55","MINTON",CITY OF NEWPORT NEWS
"531 J CLYDE","MORRIS",CITY OF NEWPORT NEWS
"11541","JEFFERSON",CITY OF NEWPORT NEWS SCHOOL BOARD
"21","BURNS",CITY OF NEWPORT NEWS SCHOOL BOARD
"221","BENNS",CITY OF NEWPORT NEWS
"235","BENNS",CITY OF NEWPORT NEWS
"270","BENNS",CITY OF NEWPORT NEWS
"278","BENNS",CITY OF NEWPORT NEWS
"642","LEONARD",CITY OF NEWPORT NEWS
"645 SEA","TURTLE",CITY OF NEWPORT NEWS
"10","GRAHAM",CITY OF NEWPORT NEWS
"213","MASSELL",CITY OF NEWPORT NEWS
"57","MADISON",CITY OF NEWPORT NEWS
"205","CORBIN",CITY OF NEWPORT NEWS
"424","BURNHAM",CITY OF NEWPORT NEWS
"64","SWEETBRIAR",CITY OF NEWPORT NEWS
"8","LARCHMONT",CITY OF NEWPORT NEWS
"524 J CLYDE","MORRIS",CITY OF NEWPORT NEWS
"464 J CLYDE","MORRIS",CITY OF NEWPORT NEWS
"509","WOODS",CITY OF NEWPORT NEWS
"11316","JEFFERSON",CITY OF NEWPORT NEWS
"16","HUBER",CITY OF NEWPORT NEWS
"620","HARPERSVILLE",CITY OF NEWPORT NEWS
"225","HUBER",CITY OF NEWPORT NEWS
"300","BENNS",CITY OF NEWPORT NEWS
"568","LEONARD",CITY OF NEWPORT NEWS
"1 BEVERLY","HILLS",CITY OF NEWPORT NEWS
"6","HILLCREST",CITY OF NEWPORT NEWS
"115 JAMES","LANDING",CITY OF NEWPORT NEWS
"70","QUEENS",CITY OF NEWPORT NEWS
"501 BLOUNT","POINT",CITY OF NEWPORT NEWS SCHOOL BOARD
"159 BLOUNT","POINT",CITY OF NEWPORT NEWS
"21","MADISON",CITY OF NEWPORT NEWS
"20 INDIGO","DAM",CITY OF NEWPORT NEWS
"38","MOORES",CITY OF NEWPORT NEWS
"389","MUSEUM",CITY OF NEWPORT NEWS
"500","HARPERSVILLE",CITY OF NEWPORT NEWS
"757","TERRACE",CITY OF NEWPORT NEWS
"741","TERRACE",CITY OF NEWPORT NEWS
"15 JAMES","LANDING",CITY OF NEWPORT NEWS
"11520","WARWICK",CITY OF NEWPORT NEWS
"4","BEACONSDALE",CITY OF NEWPORT NEWS
"746","ADAMS",CITY OF NEWPORT NEWS SCHOOL BOARD
"630","DRESDEN",CITY OF NEWPORT NEWS
"585","BEECH",CITY OF NEWPORT NEWS
"587","BEECH",CITY OF NEWPORT NEWS
"260","SHOE",CITY OF NEWPORT NEWS
"1","CROSS",CITY OF NEWPORT NEWS
"1100 COUNTRY","CLUB",CITY OF NEWPORT NEWS SCHOOL BOARD
"11400","WARWICK",CITY OF NEWPORT NEWS
"51","COPELAND",CITY OF NEWPORT NEWS SCHOOL BOARD
"1232","GATEWOOD",CITY OF NEWPORT NEWS SCHOOL BOARD
"31","DELTA",CITY OF NEWPORT NEWS
"532","BEECH",CITY OF NEWPORT NEWS
"100","CENTRAL",CITY OF NEWPORT NEWS
"111","MUSEUM",CITY OF NEWPORT NEWS
"89","NELSON",INDUSTRIAL DEVELOPMENT AUTHORITY FOR THE
"71","NELSON",INDUSTRIAL DEVELOPMENT AUTHORITY
"538","LOGAN",CITY OF NEWPORT NEWS
"11008","WARWICK",INDUSTRIAL DEVELOPMENT AUTHORITY
"10201","JEFFERSON",CITY OF NEWPORT NEWS
"10454","JEFFERSON",CITY OF NEWPORT NEWS
"717","HEMLOCK",CITY OF NEWPORT NEWS
"813","MAIN",CITY OF NEWPORT NEWS
"701","EXPORT",CITY OF NEWPORT NEWS
"561","MCLAWHORNE",CITY OF NEWPORT NEWS SCHOOL BOARD
"570","MCLAWHORNE",CITY OF NEWPORT NEWS
"804","MAIN",CITY OF NEWPORT NEWS SCHOOL BOARD
"11","TERRACE",CITY OF NEWPORT NEWS SCHOOL BOARD
"13","TERRACE",CITY OF NEWPORT NEWS SCHOOL BOARD
"229 JAMES","RIVER",CITY OF NEWPORT NEWS
"325","MAIN",CITY OF NEWPORT NEWS
"413","TYLER",CITY OF NEWPORT NEWS
"549","ABERTHAW",CITY OF NEWPORT NEWS
"305","HAMMOND",CITY OF NEWPORT NEWS
"119","MAIN",CITY OF NEWPORT NEWS
"110","MAIN",CITY OF NEWPORT NEWS
"120","MAIN",CITY OF NEWPORT NEWS
"13","HUDSON",CITY OF NEWPORT NEWS
"1","RICKS",CITY OF NEWPORT NEWS
"7","RICKS",CITY OF NEWPORT NEWS
"730","RANDOLPH",CITY OF NEWPORT NEWS
"225","RIVER",CITY OF NEWPORT NEWS
"10335","WARWICK",ECONOMIC DEVELOPMENT AUTHORITY OF
"10260","WARWICK",CITY OF NEWPORT NEWS
"10188","WARWICK",CITY OF NEWPORT NEWS
"9710","JEFFERSON",CITY OF NEWPORT NEWS
"714","SOUTH",CITY OF NEWPORT NEWS
"728","SOUTH",CITY OF NEWPORT NEWS
"808","SOUTH",CITY OF NEWPORT NEWS
"701","SOUTH",CITY OF NEWPORT NEWS
"9809","WARWICK",CITY OF NEWPORT NEWS
"42","WOODFIN",CITY OF NEWPORT NEWS
"326","CENTER",CITY OF NEWPORT NEWS
"211","SOUTH",CITY OF NEWPORT NEWS
"213","SOUTH",CITY OF NEWPORT NEWS
"307","SOUTH",CITY OF NEWPORT NEWS
"210","SOUTH",CITY OF NEWPORT NEWS
"422","CENTER",CITY OF NEWPORT NEWS
"401","SOUTH",CITY OF NEWPORT NEWS
"609","SOUTH",CITY OF NEWPORT NEWS
"605","SOUTH",CITY OF NEWPORT NEWS
"420","SOUTH",CITY OF NEWPORT NEWS
"9306","WARWICK",ECONOMIC DEVELOPMENT AUTHORITY OF
"6219","JEFFERSON",CITY OF NEWPORT NEWS
"6160","JEFFERSON",CITY OF NEWPORT NEWS SCHOOL BOARD
"6156","JEFFERSON",CITY OF NEWPORT NEWS
"606","MORRIS",ECONOMIC DEVELOPMENT AUTHORITY
"1209","79TH",CITY OF NEWPORT NEWS
"1215","76TH",CITY OF NEWPORT NEWS
"9502","RIVER",CITY OF NEWPORT NEWS
"144","SOUTH",CITY OF NEWPORT NEWS
"9300","RIVER",CITY OF NEWPORT NEWS
"9285","WARWICK",CITY OF NEWPORT NEWS
"5024","MERCURY",CITY OF NEWPORT NEWS
